movie_title,wiki_summary
20 Million Miles to Earth (1957),"20 Million Miles to Earth (also known as The Beast from Space) is a 1957 American thriller film directed by Nathan Juran and starring William Hopper, Joan Taylor, and Frank Puglia."
"20,000 Days on Earth (2014)","20,000 Days on Earth is a 2014 British musical documentary
drama film co-written and directed by Iain Forsyth and Jane Pollard."
"20,000 Leagues Under the Sea (1916)","20,000 Leagues Under the Sea is a 1916 American silent film directed by Stuart Paton."
"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea is a 1954 American science fiction adventure film directed by Richard Fleischer, from a screenplay by Earl Felton."
200 Cigarettes (1999),200 Cigarettes is a 1999 American comedy film directed by Risa Bramon Garcia and written by Shana Larsen.
2001 Maniacs (2005),"2001 Maniacs is a 2005 American comedy horror film directed by Tim Sullivan and starring Robert Englund, Lin Shaye, Jay Gillespie, Dylan Edrington, and Matthew Carey."
2001: A Space Odyssey (1968),2001: A Space Odyssey is a 1968 epic science fiction film produced and directed by Stanley Kubrick.
2010: The Year We Make Contact (1984),"2010: The Year We Make Contact (or simply 2010) is a 1984 American science fiction film written, produced, shot and directed by Peter Hyams."
2012 (2009),"2012 is a 2009 American epic science fiction disaster film directed by Roland Emmerich, written by Emmerich and Harald Kloser, and stars John Cusack, Amanda Peet, Chiwetel Ejiofor, Oliver Platt, Thandiwe Newton, Danny Glover and Woody Harrelson."
2048: Nowhere to Run (2017),2048: Nowhere to Run (known in China and Taiwan as 2048: No Escape or 2048: Nowhere to Escape; alternatively known as Blade Runner 2048) is a 2017 American neo-noir science fiction short film acting as a prequel to the feature film Blade Runner 2049 and the sequel to the short film 2036: Nexus Dawn.
21 (2008),21 is a 2008 American heist drama film directed by Robert Luketic and distributed by Sony Pictures Releasing.
21 Grams (2003),"21 Grams is a 2003 American psychological thriller film directed by Alejandro González Iñárritu and written by Guillermo Arriaga The film stars Sean Penn, Naomi Watts, Charlotte Gainsbourg, Danny Huston and Benicio Del Toro."
21 Jump Street (2012),21 Jump Street is a 2012 American buddy cop action comedy film directed by Phil Lord and Christopher Miller in their live action directional debuts and written by Jonah Hill and Michael Bacall.
21 Up (1977),The year 1977 in film involved some significant events.
21 and Over (2013),"21 & Over is a 2013 American comedy film written and directed by Jon Lucas and Scott Moore, in their directorial debut."
22 Jump Street (2014),"22 Jump Street is a 2014 American buddy cop action comedy film directed by Phil Lord and Christopher Miller, written by Jonah Hill, Michael Bacall, Oren Uziel and Rodney Rothman and produced by and starring Hill and Channing Tatum."
24 Hour Party People (2002),"24 Hour Party People is a 2002 British biographical comedy drama film about Manchester's popular music community from 1976 to 1992, and specifically about Factory Records."
25th Hour (2002),25th Hour is a 2002 American drama film directed by Spike Lee and starring Edward Norton.
27 Dresses (2008),"27 Dresses is a 2008 American romantic comedy film directed by Anne Fletcher, written by Aline Brosh McKenna, and starring Katherine Heigl and James Marsden."
28 Days (2000),28 Days is a 2000 American comedy-drama film directed by Betty Thomas and written by Susannah Grant.
28 Days Later (2002),28 Days Later is a 2002 British post-apocalyptic horror film directed by Danny Boyle and written by Alex Garland.
28 Up (1985),Commando is a 1985 American action thriller film directed by Mark L. Lester and produced by Joel Silver.
28 Weeks Later (2007),"28 Weeks Later is a 2007  post-apocalyptic horror film directed by Juan Carlos Fresnadillo, who co-wrote it with Rowan Joffé, Enrique López Lavigne and Jesus Olmo."
3 Days to Kill (2014),3 Days to Kill is a 2014 action thriller film directed by McG and written by Luc Besson and Adi Hasak.
3 Idiots (2009),"3 Idiots is a 2009 Indian Hindi-language coming-of-age comedy-drama film written, edited and directed by Rajkumar Hirani, co-written by Abhijat Joshi and produced by Vidhu Vinod Chopra."
3 Ninjas (1992),"3 Ninjas is a 1992 American martial arts comedy film directed by Jon Turteltaub and starring Victor Wong, Michael Treanor, Max Elliott Slade and Chad Power."
3 Ninjas Kick Back (1994),3 Ninjas Kick Back is a 1994 American martial arts film directed by Charles T. Kanganis.
3 Ninjas Knuckle Up (1995),3 Ninjas Knuckle Up is a 1995 American martial arts comedy film and a sequel to 3 Ninjas and 3 Ninjas Kick Back.
3 Ninjas: High Noon On Mega Mountain (1998),3 Ninjas: High Noon at Mega Mountain is a 1998 American martial arts film.
3 Women (Three Women) (1977),"3 Women is a 1977 American independent experimental psychological dramatic mysterious thriller film written, produced and directed by Robert Altman and starring Shelley Duvall, Sissy Spacek and Janice Rule."
3 dev adam (Three Giant Men) (1973) ,3 Dev Adam (Üç Dev Adam; translated as Three Giant Men and sometimes referred to as Turkish Spider-Man or Captain America and Santo vs.
3-Iron (Bin-jip) (2004),3-Iron (Korean: 빈집; RR: Bin-jip; lit.
30 Days of Night (2007),30 Days of Night is a 2007 American vampire film based on the comic book miniseries of the same name.
30 Minutes or Less (2011),"30 Minutes or Less (stylized onscreen as 30:Minutes or Less) is a 2011 American action comedy film directed by Ruben Fleischer, starring Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Michael Peña, and Fred Ward."
300 (2007),"300 is a 2006 American epic historical action film directed by Zack Snyder, who co-wrote the screenplay with Kurt Johnstad and Michael B. Gordon, based on the 1998 comic book limited series of the same name by Frank Miller and Lynn Varley."
3000 Miles to Graceland (2001),3000 Miles to Graceland is a 2001 American action comedy film directed and co-produced by Demian Lichtenstein.
300: Rise of an Empire (2014),"300: Rise of an Empire is a 2014 American epic historical action film directed by Noam Murro from a screenplay by Zack Snyder and Kurt Johnstad, based on the then-unpublished comic book limited series Xerxes by Frank Miller."
31 (2016),"31 is a 2016 American horror film written, directed, and produced by Rob Zombie, and starring an ensemble cast featuring Sheri Moon Zombie, Jeff Daniel Phillips, Lawrence Hilton-Jacobs, Meg Foster, Richard Brake, Jane Carr, Judy Geeson, E.G. Daily, and Malcolm McDowell."
35 Up (1991),Cape Fear is a 1991 American psychological thriller film directed by Martin Scorsese.
"39 Steps, The (1935)","The 39 Steps is a 1935 British spy thriller film directed by Alfred Hitchcock, starring Robert Donat and Madeleine Carroll."
3:10 to Yuma (1957),"3:10 to Yuma is a 1957 American Western film directed by Delmer Daves, starring Glenn Ford and Van Heflin."
3:10 to Yuma (2007),"3:10 to Yuma is a 2007 American Western action drama film directed by James Mangold and produced by Cathy Konrad, starring Russell Crowe and Christian Bale in the lead roles with supporting performances by Peter Fonda, Gretchen Mol, Ben Foster, Dallas Roberts, Alan Tudyk, Vinessa Shaw, and Logan Lerman."
4 Little Girls (1997),"4 Little Girls is a 1997 American historical documentary film about the murder of four African-American girls (Addie Mae Collins, Carol Denise McNair, Cynthia Wesley, Carole Rosamond Robertson) in the 16th Street Baptist Church bombing in Birmingham, Alabama on September 15, 1963."
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)","4 Months, 3 Weeks and 2 Days (Romanian: 4 luni, 3 săptămâni și 2 zile) is a 2007 Romanian art film written and directed by Cristian Mungiu and starring Anamaria Marinca, Laura Vasiliu, and Vlad Ivanov."
40 Days and 40 Nights (2002),"40 Days and 40 Nights is a 2002 romantic comedy film directed by Michael Lehmann, written by Rob Perez, and starring Josh Hartnett, Shannyn Sossamon, and Paulo Costanzo."
"40-Year-Old Virgin, The (2005)","The 40-Year-Old Virgin is a 2005 American romantic comedy film directed by Judd Apatow (in his feature directorial debut), who produced the film with Clayton Townsend and Shauna Robertson."
"400 Blows, The (Les quatre cents coups) (1959)","The 400 Blows (French: Les quatre cents coups) is a 1959 French coming-of-age drama film, and the directorial debut of François Truffaut, who also co-wrote the film."
42 (2013),"42 is a 2013 American biographical sports film about baseball player Jackie Robinson, the first black athlete to play in Major League Baseball (MLB) during the modern era."
42 Up (1998),"The Up series of documentary films follows the lives of ten males and four females in England beginning in 1964, when they were seven years old."
42nd Street (1933),"42nd Street is a 1933 American pre-Code musical film directed by Lloyd Bacon, with songs by Harry Warren (music) and Al Dubin (lyrics)."
47 Ronin (2013),47 Ronin is a 2013 American historical fantasy action film directed by Carl Rinsch in his sole theatrical directorial effort.
48 Hrs. (1982),48 Hrs.
49 Up (2005),"The Up series of documentary films follows the lives of ten males and four females in England beginning in 1964, when they were seven years old."
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),"5 Centimeters per Second (Japanese: 秒速5センチメートル, Hepburn: Byōsoku Go Senchimētoru) is a 2007 Japanese romantic drama animated film written and directed by Makoto Shinkai."
5 to 7 (2014),"5 to 7 is a 2014 American romantic film written and directed by Victor Levin and starring Anton Yelchin, Bérénice Marlohe, Olivia Thirlby, Lambert Wilson, Frank Langella, Glenn Close and Eric Stoltz."
"5,000 Fingers of Dr. T, The (1953)","The 5,000 Fingers of Dr."
50 First Dates (2004),"50 First Dates is a 2004 American romantic comedy film directed by Peter Segal and starring Adam Sandler and Drew Barrymore, with Rob Schneider, Sean Astin, Lusia Strus, Blake Clark, and Dan Aykroyd in supporting roles."
50/50 (2011),"50/50 is a 2011 American comedy-drama film directed by Jonathan Levine, written by Will Reiser, and starring Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, and Anjelica Huston."
54 (1998),54 is a 1998 American drama film written and directed by Mark Christopher.
6 Days to Air: The Making of South Park (2011),6 Days to Air: The Making of South Park (simply known as 6 Days to Air) is a 2011 American documentary television film directed by Arthur Bradford that details the production process of the American adult animated sitcom South Park.
"6th Day, The (2000)","The 6th Day is a 2000 American science fiction action film directed by Roger Spottiswoode and starring Arnold Schwarzenegger, Tony Goldwyn, Michael Rapaport, Michael Rooker, Sarah Wynter, and Robert Duvall."
"6th Man, The (Sixth Man, The) (1997)","The 6th Man, sometimes titled The Sixth Man, is a 1997 American sports comedy film directed by Randall Miller, and starring Marlon Wayans and Kadeem Hardison."
7 Days in Hell (2015),7 Days in Hell is a sports mockumentary directed by Jake Szymanski and written by Murray Miller.
7 Faces of Dr. Lao (1964),7 Faces of Dr.
"7th Voyage of Sinbad, The (1958)","The 7th Voyage of Sinbad is a 1958 American Technicolor heroic fantasy adventure film directed by Nathan H. Juran and starring Kerwin Mathews, Torin Thatcher, Kathryn Grant, Richard Eyer, and Alec Mango."
8 1/2 (8½) (1963),"8+1⁄2 (Italian title: Otto e mezzo, pronounced [ˈɔtto e mˈmɛddzo]) is a 1963 comedy-drama film directed and co-written (with Tullio Pinelli, Ennio Flaiano and Brunello Rondi) by Federico Fellini."
8 Heads in a Duffel Bag (1997),"8 Heads in a Duffel Bag is a 1997 black comedy film starring Joe Pesci, Kristy Swanson and David Spade."
8 Mile (2002),8 Mile is a 2002 American drama film written by Scott Silver and directed by Curtis Hanson.
8 Seconds (1994),8 Seconds is a 1994 American contemporary Western biographical drama film directed by John G. Avildsen.
8 Women (2002),8 Women (French: 8 femmes) is a 2002 dark comedy musical film written and directed by François Ozon.
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),"Oppenheimer is a 2023 epic biographical thriller drama film written, directed, and produced by Christopher Nolan."
800 Bullets (800 Balas) (2002),800 Bullets (Spanish: 800 balas) is a 2002 Spanish film directed by Álex de la Iglesia and penned by the former alongside Jorge Guerricaechevarría.
84 Charing Cross Road (1987),"84 Charing Cross Road is a 1987 British-American drama film directed by David Jones, and starring Anne Bancroft, Anthony Hopkins, Judi Dench, Mercedes Ruehl, and Jean De Baer."
8MM (1999),8mm is a 1999 American crime thriller film directed by Joel Schumacher and written by Andrew Kevin Walker.
9 (2009),"9 is a 2009 animated science fiction film directed by Shane Acker, written by Pamela Pettler and produced by Jim Lemley, Tim Burton, Timur Bekmambetov and Dana Ginsburg."
9 1/2 Weeks (Nine 1/2 Weeks) (1986),"9½ Weeks is a 1986 American erotic romantic drama film directed by Adrian Lyne, and starring Kim Basinger and Mickey Rourke."
9/11 (2002),"9/11 is a 2002 documentary film about the September 11 attacks in New York City, in which two planes were flown into the buildings of the World Trade Center, resulting in their destruction and the deaths of nearly 3,000 people."
96 Minutes (2011) ,"96 Minutes is a 2011 American crime thriller film written and directed by Aimée Lagos and starring Brittany Snow, Evan Ross, J. Michael Trautmann, David Oyelowo and Christian Serratos."
964 Pinocchio (1991),"964 Pinocchio (Japanese: ピノキオ√964 (ピノキオ [ルート] 964), literal transliteration: Pinokio√964 (Pinokio [Ruuto] (Rū-to) 964), literal translation: Pinocchio√964 (Pinocchio [Root] 964)), released in the United Kingdom as Screams of Blasphemy, is a 1991 Japanese cyberpunk-horror film directed by Shozin Fukui."
99 francs (2007),"99 Francs is a 2007 French satirical comedy-drama film directed by Jan Kounen from a screenplay he co-wrote with Nicolas & Bruno, based on the 2000 novel of the same name by Frédéric Beigbeder."
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),"Lorelei Lee (born March 2, 1981) is an American pornographic actor and writer."
A Bad Moms Christmas (2017),A Bad Moms Christmas is a 2017 American Christmas comedy film written and directed by Jon Lucas and Scott Moore.
A Christmas Story Live! (2017),A Christmas Story Live!
A Cosmic Christmas (1977),"A Cosmic Christmas is a 1977 American-Canadian Christmas animated television special, premiering on CBC in Canada and in syndication in the United States on 4 December 1977."
A Detective Story (2003),Detective Story is a 1951 American crime drama directed by William Wyler and starring Kirk Douglas that tells the story of one day in the lives of the various people who populate a police detective squad.
A Dog's Purpose (2017),"A Dog's Purpose is a 2017 American family adventure comedy-drama film directed by Lasse Hallström and written by W. Bruce Cameron, Cathryn Michon, Audrey Wells, Maya Forbes, and Wally Wolodarsky, based on the 2010 novel of the same name by W. Bruce Cameron."
A Flintstones Christmas Carol (1994),"A Flintstones Christmas Carol is a 1994 American animated made-for-television film featuring characters from The Flintstones franchise, and based on the 1843 novella A Christmas Carol by Charles Dickens."
A German Life (2016),"Race is a 2016 biographical sports drama film about African-American athlete Jesse Owens, who won a record-breaking four gold medals at the 1936 Berlin Olympic Games."
A Home at the End of the World (2004),"A Home at the End of the World is a 2004 American drama film directed by Michael Mayer from a screenplay by Michael Cunningham, based on Cunningham's 1990 novel of the same name."
A Man Called Blade (1977),"Blade Runner 2049 is a 2017 American epic neo-noir science fiction film directed by Denis Villeneuve from a screenplay by Hampton Fancher and Michael Green, based on a story by Fancher."
A Man from Boulevard des Capucines (1987),"A Man from the Boulevard des Capucines (Russian: Человек с бульвара Капуцинов, romanized: Chelovek s bulvara Kaputsinov) is a 1987 Red Western comedy film (Mosfilm production) directed by  Alla Surikova, with nods to silent film and the transforming power of celluloid."
A Merry Friggin' Christmas (2014),A Merry Friggin' Christmas (Also known as A Merry Christmas Miracle) is a 2014 American black comedy film directed by Tristram Shapeero and written by Phil Johnston.
A Million Ways to Die in the West (2014),"A Million Ways to Die in the West is a 2014 American Western comedy film directed by Seth MacFarlane and written by MacFarlane, Alec Sulkin and Wellesley Wild."
A Most Wanted Man (2014),"A Most Wanted Man is a 2014 espionage thriller film based on the 2008 novel of the same name by John le Carré, directed by Anton Corbijn and written by Andrew Bovell."
A Perfect Day (2015),A Perfect Day is a 2015 Spanish comedy-drama film written and directed by Fernando León de Aranoa.
A Pigeon Sat on a Branch Reflecting on Existence (2014),A Pigeon Sat on a Branch Reflecting on Existence (Swedish: En duva satt på en gren och funderade på tillvaron) is a 2014 internationally co-produced black comedy-drama film written and directed by Roy Andersson.
A Plasticine Crow (1981),"Plasticine Crow (Russian: Пластилиновая ворона, translit."
A Quiet Place (2018),A Quiet Place is a 2018 American post-apocalyptic horror film directed by John Krasinski.
A Silent Voice (2016),"A Silent Voice (Japanese: 映画 聲の形, Hepburn: Eiga Koe no Katachi, lit. 'Film Shape of Voice') is a 2016 Japanese animated drama film based on the manga of the same name by Yoshitoki Ōima."
A Story of Children and Film (2013),"Little Children is a 2006 satirical melodrama film directed by Todd Field, based on the 2004 novel of the same name by Tom Perrotta who co-wrote the screenplay with Field."
A Street Cat Named Bob (2016),A Street Cat Named Bob is a 2016 British biographical drama film directed by Roger Spottiswoode and written by Tim John and Maria Nation.
A Very Murray Christmas (2015),"A Very Murray Christmas is a 2015 American Christmas musical comedy film directed by Sofia Coppola and co-written by Bill Murray, Mitch Glazer, and Coppola."
A Walk in the Woods (2015),"A Walk in the Woods is a 2015 American biographical comedy-drama film directed by Ken Kwapis and starring Robert Redford, Nick Nolte and Emma Thompson."
A Wrinkle in Time (2018),"A Wrinkle in Time is a 2018 American science fantasy adventure film directed by Ava DuVernay and written by Jennifer Lee and Jeff Stockwell, based on Madeleine L'Engle's 1962 novel of the same name."
"A-Team, The (2010)",The A-Team is a 2010 American action comedy film based on the 1980s television series of the same name created by Frank Lupo and Stephen J. Cannell.
A.I. Artificial Intelligence (2001),A.I. Artificial Intelligence (or simply A.I.) is a 2001 American science fiction film directed by Steven Spielberg.
"ABCs of Death, The (2012)",The ABCs of Death is a 2012 American comedy horror anthology film produced by international producers and directed by filmmakers from around the world.
ARQ (2016),ARQ is a 2016 American-Canadian science fiction action film directed by Tony Elliott.
AVP: Alien vs. Predator (2004),Alien vs.
AVPR: Aliens vs. Predator - Requiem (2007),Aliens vs.
"Abandoned, The (2006)","The Abandoned is a 2006 horror film co-written and directed by Nacho Cerdà and starring Anastasia Hille, Carlos Reig, Valentin Ganev, and Karel Roden."
Abbott and Costello Meet Frankenstein (1948),Abbott and Costello Meet Frankenstein is a 1948 American horror comedy film directed by Charles Barton.
Abduction (2011),"Abduction is a 2011 American action thriller film directed by John Singleton (in his final directed film before his death in 2019), produced by Roy Lee and Ellen Goldsmith-Vein, and written by Shawn Christensen."
"Abominable Dr. Phibes, The (1971)",The Abominable Dr.
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)","The Abominable Snowman (US title: The Abominable Snowman of the Himalayas; also known as The Snow Creature) is a 1957 British fantasy-horror film directed by Val Guest and starring Forrest Tucker, Peter Cushing, Maureen Connell and Richard Wattis."
About Adam (2000),"About Adam is a 2000 romantic comedy film written and directed by Gerard Stembridge and starring Kate Hudson, Stuart Townsend, and Frances O'Connor."
About Last Night (2014),"About Last Night is a 2014 American romantic comedy film starring Kevin Hart, Michael Ealy, Regina Hall and Joy Bryant."
About Last Night... (1986),"About Last Night (stylized as ""About Last Night..."") is a 1986 American romantic comedy-drama film directed by Edward Zwick, and starring Rob Lowe and Demi Moore as Chicago yuppies Danny Martin and Debbie Sullivan, who enter a committed relationship for the first time."
About Schmidt (2002),About Schmidt is a 2002 American comedy-drama film co-written and directed by Alexander Payne and starring Jack Nicholson in the title role.
